0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
1670000.0	1960000.0	2040000.0000000002	1660000.0	1900000.0	1710000.0	2020000.0	1860000.0000000002	1790000.0000000002	1780000.0	1930000.0	1950000.0	1590000.0000000002	2000000.0	1980000.0	1900000.0	1900000.0	1990000.0	1980000.0	1770000.0	2330000.0	2300000.0	1990000.0	2150000.0	1970000.0	1640000.0	1900000.0	2080000.0000000002	1930000.0	2130000.0	1920000.0	1810000.0000000002	1920000.0	1890000.0	1910000.0	2030000.0	1810000.0000000002	1760000.0	1660000.0	2040000.0000000002	2150000.0	2210000.0	1920000.0	1660000.0	1780000.0	2030000.0	1880000.0	1850000.0000000002	1770000.0	1910000.0	1990000.0	2090000.0	1880000.0	2009999.9999999998	1820000.0000000002	1680000.0	1720000.0	1650000.0	2000000.0	2110000.0	1970000.0	1620000.0000000002	1520000.0	1790000.0000000002	2140000.0	1690000.0	2080000.0000000002	1770000.0	1870000.0000000002	1790000.0000000002	2300000.0	1790000.0000000002	1820000.0000000002	1850000.0000000002	1820000.0000000002	1560000.0000000002	2009999.9999999998	1760000.0	1850000.0000000002	1770000.0	1740000.0	1810000.0000000002	2130000.0	1860000.0000000002	1880000.0	2009999.9999999998	2080000.0000000002	1680000.0	2030000.0	2170000.0	2050000.0	1980000.0	2120000.0	1880000.0	2000000.0	1730000.0	1920000.0	1790000.0000000002	1720000.0	2030000.0
1771929.8245614036	1894736.8421052631	1807017.5438596492	2026315.7894736843	1745614.0350877196	1956140.3508771933	1868421.052631579	1956140.3508771933	1543859.649122807	2105263.1578947366	1964912.2807017544	1929824.5614035088	1780701.754385965	1719298.2456140353	1842105.2631578948	2035087.7192982459	1728070.1754385966	2140350.8771929825	1719298.2456140353	2070175.4385964915	1956140.3508771933	1964912.2807017544	1982456.1403508773	2105263.1578947366	1938596.4912280703	1877192.9824561405	1771929.8245614036	1868421.052631579	1859649.1228070175	2000000.0	1938596.4912280703	2078947.3684210528	2070175.4385964915	1736842.105263158	2043859.649122807	1947368.4210526317	2201754.3859649124	1842105.2631578948	1649122.807017544	1807017.5438596492	1771929.8245614036	1912280.701754386	1833333.3333333333	1649122.807017544	1956140.3508771933	1903508.7719298245	1842105.2631578948	1877192.9824561405	1885964.912280702	1771929.8245614036	1780701.754385965	1859649.1228070175	1780701.754385965	1745614.0350877196	2131578.947368421	1938596.4912280703	2035087.7192982459	2070175.4385964915	2070175.4385964915	1938596.4912280703	1929824.5614035088	1877192.9824561405	1947368.4210526317	1964912.2807017544	2000000.0	1912280.701754386	1754385.9649122807	1842105.2631578948	2061403.50877193	1938596.4912280703	1964912.2807017544	2008771.9298245613	1824561.403508772	1938596.4912280703	2043859.649122807	1649122.807017544	2061403.50877193	1859649.1228070175	1903508.7719298245	1728070.1754385966	1859649.1228070175	1912280.701754386	2026315.7894736843	1789473.6842105265	1964912.2807017544	1868421.052631579	2087719.298245614	2035087.7192982459	1622807.0175438595	1561403.50877193	1912280.701754386	1929824.5614035088	1596491.2280701755	1859649.1228070175	1921052.6315789474	1859649.1228070175	1912280.701754386	1921052.6315789474	1807017.5438596492	2096491.2280701755
1916666.6666666667	2060606.0606060605	2060606.0606060605	1977272.7272727273	1909090.9090909092	1886363.6363636365	1772727.2727272727	1886363.6363636365	2075757.5757575757	1681818.1818181819	1939393.9393939395	2068181.8181818184	1818181.8181818181	1939393.9393939395	1916666.6666666667	1772727.2727272727	1992424.2424242424	1848484.8484848484	1757575.7575757576	1939393.9393939395	1795454.5454545454	2015151.5151515151	1871212.121212121	1750000.0	1924242.4242424243	1954545.4545454546	2189393.9393939395	2000000.0	2045454.5454545454	2037878.787878788	1712121.2121212122	1931818.1818181819	1909090.9090909092	2022727.272727273	2068181.8181818184	2045454.5454545454	1689393.9393939395	1916666.6666666667	2007575.7575757578	1924242.4242424243	1878787.878787879	1787878.7878787878	2000000.0	1856060.606060606	2007575.7575757578	1810606.0606060605	2022727.272727273	1810606.0606060605	1909090.9090909092	1840909.0909090908	1825757.5757575757	1909090.9090909092	1772727.2727272727	1780303.0303030303	1901515.1515151516	1787878.7878787878	1969696.9696969697	1916666.6666666667	1954545.4545454546	1848484.8484848484	1939393.9393939395	1878787.878787879	2037878.787878788	1825757.5757575757	1969696.9696969697	2121212.121212121	1871212.121212121	1765151.5151515151	1780303.0303030303	2000000.0	1772727.2727272727	1954545.4545454546	1962121.2121212122	1833333.3333333333	2000000.0	1750000.0	1939393.9393939395	1878787.878787879	1901515.1515151516	1886363.6363636365	1939393.9393939395	1893939.393939394	1825757.5757575757	1727272.7272727273	2000000.0	1962121.2121212122	2045454.5454545454	1977272.7272727273	1696969.696969697	1924242.4242424243	1825757.5757575757	2295454.5454545454	1810606.0606060605	2303030.303030303	2015151.5151515151	1962121.2121212122	2060606.0606060605	1833333.3333333333	1924242.4242424243	1901515.1515151516
1854304.6357615895	1701986.7549668874	2052980.132450331	1860927.152317881	1715231.7880794704	1860927.152317881	1966887.4172185431	1874172.1854304636	1874172.1854304636	1960264.9006622517	1821192.0529801324	1854304.6357615895	2059602.6490066226	2158940.3973509935	1801324.5033112585	1768211.9205298014	1874172.1854304636	2145695.3642384107	1781456.9536423841	1841059.6026490068	2006622.5165562914	2026490.0662251657	1801324.5033112585	2092715.2317880795	1774834.4370860928	1966887.4172185431	1701986.7549668874	1807947.0198675497	1960264.9006622517	1940397.3509933774	2125827.8145695366	1701986.7549668874	2198675.4966887417	2006622.5165562914	1933774.8344370862	2059602.6490066226	1980132.4503311259	1920529.8013245035	1874172.1854304636	1774834.4370860928	1960264.9006622517	1993377.4834437086	1774834.4370860928	2013245.033112583	1867549.6688741723	1794701.9867549671	1880794.701986755	2066225.165562914	2099337.7483443706	1754966.8874172186	1927152.3178807949	1841059.6026490068	2006622.5165562914	2079470.1986754967	1807947.0198675497	2152317.880794702	1774834.4370860928	1821192.0529801324	1966887.4172185431	1695364.238410596	1827814.569536424	1894039.7350993378	1721854.3046357615	1940397.3509933774	1801324.5033112585	1834437.0860927154	1966887.4172185431	1980132.4503311259	1907284.7682119205	1880794.701986755	1907284.7682119205	1543046.3576158942	1887417.2185430466	1880794.701986755	1993377.4834437086	2092715.2317880795	1933774.8344370862	1947019.867549669	2013245.033112583	1887417.2185430466	1894039.7350993378	1874172.1854304636	2172185.430463576	1913907.2847682121	1761589.4039735098	1735099.3377483445	1708609.271523179	1953642.3841059604	1913907.2847682121	1907284.7682119205	1894039.7350993378	1920529.8013245035	1841059.6026490068	1847682.1192052981	1880794.701986755	1933774.8344370862	1993377.4834437086	1701986.7549668874	1980132.4503311259	1880794.701986755
1936781.6091954024	1810344.8275862068	2005747.1264367816	1942528.735632184	1977011.4942528736	2045977.0114942528	1954022.9885057472	1787356.3218390804	1741379.3103448276	1948275.8620689656	2155172.413793104	1885057.471264368	1873563.2183908047	1994252.8735632184	1988505.7471264368	2045977.0114942528	1931034.4827586208	1919540.2298850575	1896551.7241379311	1821839.0804597703	1948275.8620689656	1793103.4482758623	2051724.137931035	1729885.0574712644	2097701.1494252877	1925287.3563218392	1798850.5747126439	1965517.2413793104	1850574.7126436783	2000000.0	2017241.3793103448	1862068.9655172415	1890804.5977011495	1856321.8390804597	1965517.2413793104	1844827.5862068967	1816091.9540229887	2068965.5172413795	1862068.9655172415	1833333.3333333333	1954022.9885057472	1850574.7126436783	2022988.5057471266	1655172.4137931035	1770114.9425287358	1833333.3333333333	2091954.0229885057	2034482.7586206896	2000000.0	1931034.4827586208	1942528.735632184	1919540.2298850575	1936781.6091954024	2005747.1264367816	1890804.5977011495	1931034.4827586208	1931034.4827586208	1770114.9425287358	1982758.6206896554	1867816.091954023	1925287.3563218392	2005747.1264367816	1879310.3448275863	1954022.9885057472	1954022.9885057472	1982758.6206896554	1827586.206896552	1816091.9540229887	1954022.9885057472	2063218.3908045976	2057471.2643678163	1931034.4827586208	2063218.3908045976	2091954.0229885057	1885057.471264368	1862068.9655172415	2258620.6896551726	2097701.1494252877	1965517.2413793104	1948275.8620689656	1833333.3333333333	2120689.6551724137	2011494.2528735634	1810344.8275862068	2252873.563218391	1747126.4367816094	1787356.3218390804	2120689.6551724137	1931034.4827586208	1908045.9770114943	1919540.2298850575	1833333.3333333333	1959770.114942529	2011494.2528735634	1988505.7471264368	1856321.8390804597	1936781.6091954024	1764367.816091954	2005747.1264367816	1706896.551724138
1725000.0000000002	2020000.0	2035000.0000000002	1860000.0000000002	1810000.0000000002	1840000.0000000002	2060000.0000000002	1880000.0	1900000.0	1825000.0	1925000.0000000002	1965000.0000000002	1735000.0000000002	1930000.0	1840000.0000000002	2009999.9999999998	1950000.0	1925000.0000000002	1915000.0000000002	1735000.0000000002	2195000.0	2175000.0	2115000.0000000005	1925000.0000000002	1870000.0000000002	1890000.0	1815000.0	2060000.0000000002	1905000.0	2085000.0	1960000.0	1750000.0	1930000.0	1920000.0	1980000.0	2080000.0000000002	1815000.0	1795000.0	1885000.0	2035000.0000000002	1965000.0000000002	2065000.0	1870000.0000000002	1745000.0000000002	1945000.0000000002	1930000.0	1790000.0000000002	1895000.0	1710000.0	1840000.0000000002	1905000.0	1965000.0000000002	1815000.0	1920000.0	1880000.0	1860000.0000000002	1795000.0	1755000.0	1985000.0000000002	2140000.0	1920000.0	1715000.0000000002	1735000.0000000002	1750000.0	2025000.0	1685000.0000000002	1915000.0000000002	1810000.0000000002	1915000.0000000002	1800000.0000000002	2110000.0	1945000.0000000002	1840000.0000000002	1850000.0000000002	1830000.0000000002	1865000.0	1890000.0	1890000.0	1915000.0000000002	1805000.0	1815000.0	1785000.0	2060000.0000000002	1925000.0000000002	1935000.0000000002	1870000.0000000002	1975000.0000000002	1780000.0	1885000.0	1970000.0	2005000.0	1940000.0	2130000.0	1810000.0000000002	1905000.0	1865000.0	1870000.0000000002	1890000.0	1740000.0	2065000.0
1891774.8917748919	1909090.9090909092	1874458.8744588746	1839826.83982684	1722943.722943723	1792207.7922077922	1956709.9567099568	1896103.8961038962	1826839.826839827	2012987.0129870132	2051948.0519480521	2199134.1991341994	1909090.9090909092	1865800.865800866	1861471.8614718616	1991341.9913419916	2051948.0519480521	2077922.0779220778	1896103.8961038962	1900432.9004329005	1982683.9826839827	1861471.8614718616	2060606.0606060605	2004329.0043290046	2030303.0303030303	1822510.8225108224	2056277.0562770565	2047619.0476190476	1974025.974025974	1883116.8831168832	1922077.9220779222	1753246.7532467532	2069264.0692640692	1835497.8354978357	1848484.8484848484	1896103.8961038962	1943722.9437229438	1658008.658008658	2025974.025974026	1692640.6926406927	1948051.948051948	1861471.8614718616	1917748.9177489178	1857142.8571428573	1939393.9393939395	1839826.83982684	1926406.9264069265	1939393.9393939395	1852813.852813853	1696969.696969697	1779220.7792207794	1809523.8095238097	2047619.0476190476	2056277.0562770565	1865800.865800866	1835497.8354978357	2034632.0346320348	2008658.0086580086	2069264.0692640692	2077922.0779220778	1865800.865800866	2038961.038961039	1848484.8484848484	1922077.9220779222	1783549.7835497835	1917748.9177489178	1822510.8225108224	2021645.0216450219	1952380.9523809524	1770562.7705627708	2030303.0303030303	1779220.7792207794	2012987.0129870132	1826839.826839827	1956709.9567099568	1891774.8917748919	1891774.8917748919	1822510.8225108224	2177489.177489178	1991341.9913419916	1822510.8225108224	1961038.9610389613	1922077.9220779222	2038961.038961039	1852813.852813853	1874458.8744588746	1904761.9047619049	1818181.8181818181	1904761.9047619049	1917748.9177489178	1857142.8571428573	1995670.995670996	1701298.7012987013	1930735.9307359308	1835497.8354978357	1870129.8701298703	1796536.7965367965	2025974.025974026	1870129.8701298703	1948051.948051948
2033962.2641509436	1758490.566037736	1962264.1509433964	1924528.3018867925	1913207.5471698113	1943396.2264150945	1898113.2075471699	1898113.2075471699	1867924.528301887	1871698.1132075472	1947169.811320755	1969811.320754717	2079245.2830188682	1920754.7169811323	1928301.886792453	1886792.4528301887	1871698.1132075472	1909433.962264151	1928301.886792453	1981132.0754716983	1988679.245283019	1777358.4905660378	2060377.358490566	1984905.6603773586	2037735.8490566039	2022641.5094339624	1939622.641509434	1875471.6981132077	1973584.9056603773	1947169.811320755	2067924.528301887	1898113.2075471699	1901886.7924528304	1939622.641509434	1890566.0377358492	1807547.169811321	1883018.8679245284	1849056.603773585	1943396.2264150945	1932075.4716981133	1988679.245283019	2037735.8490566039	1981132.0754716983	1905660.3773584906	1958490.566037736	1758490.566037736	1871698.1132075472	1837735.8490566039	1958490.566037736	2060377.358490566	1871698.1132075472	1792452.8301886793	1830188.6792452831	2052830.1886792453	1739622.6415094342	1769811.320754717	2007547.169811321	2045283.0188679246	1826415.0943396227	1981132.0754716983	1875471.6981132077	1811320.7547169812	2026415.0943396229	1841509.4339622643	1841509.4339622643	1913207.5471698113	1920754.7169811323	1969811.320754717	1792452.8301886793	1750943.3962264152	1849056.603773585	2049056.6037735853	2018867.9245283022	1981132.0754716983	1864150.9433962265	1788679.245283019	2015094.3396226417	1992452.8301886793	1856603.7735849058	2052830.1886792453	1833962.2641509436	2045283.0188679246	1973584.9056603773	2052830.1886792453	1913207.5471698113	1890566.0377358492	1894339.6226415096	1958490.566037736	1875471.6981132077	1856603.7735849058	1916981.1320754718	1920754.7169811323	2003773.5849056607	1935849.0566037737	1898113.2075471699	1916981.1320754718	1777358.4905660378	2015094.3396226417	1845283.0188679246	1920754.7169811323
1973770.491803279	1983606.5573770492	2006557.3770491804	1829508.1967213114	1757377.049180328	1950819.6721311475	1891803.2786885246	1881967.213114754	1973770.491803279	1918032.786885246	2062295.0819672134	1924590.1639344264	1872131.1475409837	1957377.0491803281	1980327.8688524591	2016393.4426229508	1898360.6557377048	1937704.918032787	1790163.9344262294	1924590.1639344264	1855737.704918033	1908196.7213114756	1927868.8524590165	1977049.180327869	1967213.1147540985	1881967.213114754	2121311.475409836	1842622.950819672	2075409.8360655739	1845901.6393442622	1891803.2786885246	2019672.1311475413	1918032.786885246	2072131.1475409837	1842622.950819672	1839344.262295082	1796721.31147541	2003278.68852459	1957377.0491803281	1855737.704918033	1868852.4590163936	1996721.31147541	1859016.393442623	1947540.9836065574	1970491.8032786886	1924590.1639344264	1800000.0000000002	1895081.9672131147	1718032.786885246	1803278.6885245903	1970491.8032786886	1996721.31147541	1977049.180327869	1839344.262295082	1924590.1639344264	1875409.8360655739	1724590.1639344264	1895081.9672131147	1750819.6721311477	1918032.786885246	1924590.1639344264	2081967.213114754	1914754.0983606558	1734426.2295081967	2045901.6393442622	1960655.7377049183	1937704.918032787	1947540.9836065574	1868852.4590163936	1868852.4590163936	1655737.704918033	1921311.4754098363	1780327.8688524591	1901639.3442622952	2059016.393442623	2065573.7704918035	2006557.3770491804	1832786.8852459018	1829508.1967213114	1918032.786885246	2085245.9016393442	1950819.6721311475	1950819.6721311475	2022950.8196721314	2045901.6393442622	1921311.4754098363	1862295.0819672132	1967213.1147540985	1868852.4590163936	1960655.7377049183	2049180.3278688523	1967213.1147540985	1904918.0327868855	1908196.7213114756	1921311.4754098363	1950819.6721311475	1940983.6065573771	1950819.6721311475	2045901.6393442622	1914754.0983606558
1874643.8746438748	1994301.9943019946	1763532.7635327636	2119658.11965812	1883190.8831908833	1974358.9743589745	2125356.1253561256	1766381.7663817666	2037037.0370370373	2000000.0	1923076.9230769232	1905982.905982906	2034188.0341880342	1917378.9173789173	1991452.9914529915	1920227.9202279204	1894586.8945868947	1854700.8547008547	1851851.851851852	1871794.871794872	1851851.851851852	1917378.9173789173	1817663.8176638177	1877492.8774928774	1917378.9173789173	2045584.0455840458	1937321.9373219374	2025641.0256410257	2031339.0313390314	1843304.8433048434	2014245.0142450144	1854700.8547008547	2088319.0883190883	1857549.8575498576	1908831.9088319088	1914529.9145299147	1831908.831908832	1982905.982905983	1820512.8205128205	2079772.0797720798	1934472.9344729346	1826210.8262108264	1900284.9002849003	1948717.9487179487	1863247.8632478635	2011396.0113960113	1971509.9715099717	1888888.888888889	1917378.9173789173	1897435.8974358975	1883190.8831908833	1857549.8575498576	1854700.8547008547	2102564.102564103	2011396.0113960113	2005698.005698006	1860398.8603988604	1886039.8860398862	2068376.0683760687	1931623.9316239317	1991452.9914529915	1786324.7863247865	1857549.8575498576	2045584.0455840458	1931623.9316239317	1911680.911680912	1786324.7863247865	2011396.0113960113	1789173.789173789	1903133.9031339032	1811965.811965812	1940170.9401709402	2002849.0028490028	1965811.9658119658	1920227.9202279204	1934472.9344729346	1925925.9259259258	1851851.851851852	1962962.9629629632	1917378.9173789173	1868945.868945869	1883190.8831908833	1866096.8660968663	1891737.8917378918	1905982.905982906	1945868.945868946	1897435.8974358975	1900284.9002849003	1871794.871794872	1951566.9515669516	2019943.0199430198	1880341.8803418805	1820512.8205128205	1868945.868945869	1980056.9800569802	1866096.8660968663	1971509.9715099717	2000000.0	1877492.8774928774	1980056.9800569802
